DRAFT_YEAR,OVERALL_PICK,ROOKIE_SALARY_YEAR_1
2012,12,1683500
2012,13,1599300
2012,14,1519400
2012,15,1443300
2012,16,1371200
2012,17,1302600
2012,18,1237500
2012,19,1181800
2012,20,1134500
2012,21,1089100
2012,22,1045600
2012,23,1003800
2012,24,963600
2012,25,925100
2012,26,894400
2012,27,868600
2012,28,863300
2012,29,857000
2012,30,850800
2012,31,
2012,32,
2012,33,
2012,34,
2012,35,
2012,36,
2012,37,
2012,38,
2012,39,
2012,40,
2012,41,
2012,42,
2012,43,
2012,44,
2012,45,
2012,46,
2012,47,
2012,48,
2012,49,
2012,50,
2012,51,
2012,52,
2012,53,
2012,54,
2012,55,
2012,56,
2012,57,
2012,58,
2012,59,
2012,60,
2013,1,4286900
2013,2,3835600
2013,3,3444400
2013,4,3105500
2013,5,2812200
2013,6,2554200
2013,7,2331700
2013,8,2136100
2013,9,1963600
2013,10,1865300
2013,11,1772100
2013,12,1683500
2013,13,1599300
2013,14,1519400
2013,15,1443300
2013,16,1371200
2013,17,1302600
2013,18,1237500
2013,19,1181800
2013,20,1134500
2013,21,1089100
2013,22,1045600
2013,23,1003800
2013,24,963600
2013,25,925100
2013,26,894400
2013,27,868600
2013,28,863300
2013,29,857000
2013,30,850800
2013,31,
2013,32,
2013,33,
2013,34,
2013,35,
2013,36,
2013,37,
2013,38,
2013,39,
2013,40,
2013,41,
2013,42,
2013,43,
2013,44,
2013,45,
2013,46,
2013,47,
2013,48,
2013,49,
2013,50,
2013,51,
2013,52,
2013,53,
2013,54,
2013,55,
2013,56,
2013,57,
2013,58,
2013,59,
2013,60,
2014,1,4436900
2014,2,3969800
2014,3,3565000
2014,4,3214200
2014,5,2910600
2014,6,2643600
2014,7,2413300
2014,8,2210900
2014,9,2032300
2014,10,1930600
2014,11,1834100
2014,12,1742400
2014,13,1655300
2014,14,1572600
2014,15,1493800
2014,16,1419200
2014,17,1348200
2014,18,1280800
2014,19,1223200
2014,20,1174200
2014,21,1127200
2014,22,1082200
2014,23,1038900
2014,24,997300
2014,25,957500
2014,26,925700
2014,27,899000
2014,28,893500
2014,29,887000
2014,30,880600
2014,31,
2014,32,
2014,33,
2014,34,
2014,35,
2014,36,
2014,37,
2014,38,
2014,39,
2014,40,
2014,41,
2014,42,
2014,43,
2014,44,
2014,45,
2014,46,
2014,47,
2014,48,
2014,49,
2014,50,
2014,51,
2014,52,
2014,53,
2014,54,
2014,55,
2014,56,
2014,57,
2014,58,
2014,59,
2014,60,
2015,1,4592200
2015,2,4108800
2015,3,3689700
2015,4,3326700
2015,5,3012500
2015,6,2736100
2015,7,2497800
2015,8,2288200
2015,9,2103500
2015,10,1998200
2015,11,1898300
2015,12,1803400
2015,13,1713200
2015,14,1627600
2015,15,1546100
2015,16,1468900
2015,17,1395400
2015,18,1325600
2015,19,1266000
2015,20,1215300
2015,21,1166700
2015,22,1120100
2015,23,1075300
2015,24,1032200
2015,25,991000
2015,26,958100
2015,27,930500
2015,28,924800
2015,29,918000
2015,30,911400
2015,31,
2015,32,
2015,33,
2015,34,
2015,35,
2015,36,
2015,37,
2015,38,
2015,39,
2015,40,
2015,41,
2015,42,
2015,43,
2015,44,
2015,45,
2015,46,
2015,47,
2015,48,
2015,49,
2015,50,
2015,51,
2015,52,
2015,53,
2015,54,
2015,55,
2015,56,
2015,57,
2015,58,
2015,59,
2015,60,
2016,1,4753000
2016,2,4252600
2016,3,3818900
2016,4,3443100
2016,5,3117900
2016,6,2831900
2016,7,2585200
2016,8,2368300
2016,9,2177100
2016,10,2068100
2016,11,1964800
2016,12,1866500
2016,13,1773200
2016,14,1684600
2016,15,1600200
2016,16,1520300
2016,17,1444200
2016,18,1372000
2016,19,1310300
2016,20,1257800
2016,21,1207500
2016,22,1159300
2016,23,1112900
2016,24,1068400
2016,25,1025700
2016,26,991600
2016,27,963000
2016,28,957200
2016,29,950200
2016,30,943300
2016,31,
2016,32,
2016,33,
2016,34,
2016,35,
2016,36,
2016,37,
2016,38,
2016,39,
2016,40,
2016,41,
2016,42,
2016,43,
2016,44,
2016,45,
2016,46,
2016,47,
2016,48,
2016,49,
2016,50,
2016,51,
2016,52,
2016,53,
2016,54,
2016,55,
2016,56,
2016,57,
2016,58,
2016,59,
2016,60,
2017,1,4919300
2017,2,4401400
2017,3,3952500
2017,4,3563600
2017,5,3227100
2017,6,2931000
2017,7,2675700
2017,8,2451200
2017,9,2253300
2017,10,2140500
2017,11,2033500
2017,12,1931900
2017,13,1835200
2017,14,1743500
2017,15,1656200
2017,16,1573500
2017,17,1494800
2017,18,1420100
2017,19,1356100
2017,20,1301900
2017,21,1249800
2017,22,1199900
2017,23,1151900
2017,24,1105800
2017,25,1061600
2017,26,1026300
2017,27,996700
2017,28,990700
2017,29,983400
2017,30,976300
2017,31,
2017,32,
2017,33,
2017,34,
2017,35,
2017,36,
2017,37,
2017,38,
2017,39,
2017,40,
2017,41,
2017,42,
2017,43,
2017,44,
2017,45,
2017,46,
2017,47,
2017,48,
2017,49,
2017,50,
2017,51,
2017,52,
2017,53,
2017,54,
2017,55,
2017,56,
2017,57,
2017,58,
2017,59,
2017,60,
2018,1,5855200
2018,2,5238800
2018,3,4704500
2018,4,4241700
2018,5,3841000
2018,6,3488600
2018,7,3184700
2018,8,2917600
2018,9,2681900
2018,10,2547700
2018,11,2420400
2018,12,2299400
2018,13,2184400
2018,14,2075300
2018,15,1971300
2018,16,1872900
2018,17,1779200
2018,18,1690300
2018,19,1614100
2018,20,1549500
2018,21,1487500
2018,22,1428100
2018,23,1371000
2018,24,1316200
2018,25,1263500
2018,26,1221600
2018,27,1186300
2018,28,1179100
2018,29,1170500
2018,30,1162100
2018,31,
2018,32,
2018,33,
2018,34,
2018,35,
2018,36,
2018,37,
2018,38,
2018,39,
2018,40,
2018,41,
2018,42,
2018,43,
2018,44,
2018,45,
2018,46,
2018,47,
2018,48,
2018,49,
2018,50,
2018,51,
2018,52,
2018,53,
2018,54,
2018,55,
2018,56,
2018,57,
2018,58,
2018,59,
2018,60,
2019,1,6804300
2019,2,6088000
2019,3,5467200
2019,4,4929200
2019,5,4463700
2019,6,4054200
2019,7,3701000
2019,8,3390500
2019,9,3116600
2019,10,2960800
2019,11,2812800
2019,12,2672200
2019,13,2538500
2019,14,2411800
2019,15,2290900
2019,16,2176500
2019,17,2067500
2019,18,1964300
2019,19,1875800
2019,20,1800600
2019,21,1728600
2019,22,1659600
2019,23,1593300
2019,24,1529600
2019,25,1468400
2019,26,1419700
2019,27,1378700
2019,28,1370200
2019,29,1360200
2019,30,1350400
2019,31,
2019,32,
2019,33,
2019,34,
2019,35,
2019,36,
2019,37,
2019,38,
2019,39,
2019,40,
2019,41,
2019,42,
2019,43,
2019,44,
2019,45,
2019,46,
2019,47,
2019,48,
2019,49,
2019,50,
2019,51,
2019,52,
2019,53,
2019,54,
2019,55,
2019,56,
2019,57,
2019,58,
2019,59,
2019,60,
2020,1,8131200
2020,2,7275200
2020,3,6533300
2020,4,5890300
2020,5,5334100
2020,6,4844700
2020,7,4422600
2020,8,4051700
2020,9,3724300
2020,10,3538100
2020,11,3361200
2020,12,3193200
2020,13,3033500
2020,14,2882000
2020,15,2737600
2020,16,2600900
2020,17,2470700
2020,18,2347300
2020,19,2241600
2020,20,2151800
2020,21,2065700
2020,22,1983200
2020,23,1904000
2020,24,1827900
2020,25,1754600
2020,26,1696500
2020,27,1647500
2020,28,1637300
2020,29,1625500
2020,30,1613700
2020,31,
2020,32,
2020,33,
2020,34,
2020,35,
2020,36,
2020,37,
2020,38,
2020,39,
2020,40,
2020,41,
2020,42,
2020,43,
2020,44,
2020,45,
2020,46,
2020,47,
2020,48,
2020,49,
2020,50,
2020,51,
2020,52,
2020,53,
2020,54,
2020,55,
2020,56,
2020,57,
2020,58,
2020,59,
2020,60,
