GROUP_VALUE,GP,MIN,TS_PCT,USG_PCT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,E_NET_RATING,AST_PCT,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,PACE,E_PACE,PIE,PERSON_ID,SEASON_START_YEAR
2019-20,3,16.1,0.45,0.179,105.0,104.6,96.2,98.3,8.8,6.3,0.182,0.02,0.167,0.096,7.7,7.8,0.406,102.11,101.14,0.068,1629677,2019
2020-21,33,9.3,0.518,0.187,102.6,101.5,104.6,108.4,-2.0,-6.9,0.073,0.049,0.158,0.104,13.2,13.1,0.505,101.47,100.26,0.065,1629677,2020
2022-23,7,23.0,0.55,0.193,109.6,109.1,111.3,108.8,-1.7,0.4,0.115,0.0,0.161,0.09,11.4,11.4,0.526,105.66,107.13,0.079,1629677,2022
2023-24,43,9.4,0.485,0.21,106.5,105.4,112.0,112.2,-5.5,-6.8,0.071,0.051,0.177,0.116,12.3,12.2,0.421,102.97,103.37,0.073,1629677,2023
2019-20,65,19.8,0.539,0.108,107.7,108.3,105.3,105.3,2.4,3.0,0.081,0.033,0.049,0.041,12.3,12.3,0.528,102.32,102.06,0.044,1629680,2019
2020-21,65,20.0,0.508,0.09,109.3,110.3,104.7,104.0,4.6,6.3,0.064,0.023,0.07,0.047,9.3,9.3,0.508,101.86,101.75,0.053,1629680,2020
2021-22,66,25.5,0.594,0.095,110.9,111.0,107.2,105.9,3.8,5.1,0.063,0.026,0.064,0.045,9.0,9.0,0.575,97.32,97.84,0.057,1629680,2021
2022-23,22,27.7,0.566,0.113,109.5,108.4,116.4,115.5,-6.9,-7.1,0.067,0.031,0.096,0.063,8.4,8.4,0.558,100.84,101.78,0.058,1629680,2022
2019-20,58,22.4,0.663,0.18,107.7,107.6,107.8,107.3,-0.1,0.3,0.092,0.067,0.177,0.124,8.3,8.3,0.642,106.13,106.46,0.139,1629634,2019
2020-21,59,24.0,0.56,0.167,109.5,108.6,109.3,108.8,0.2,-0.3,0.094,0.064,0.16,0.111,5.0,4.9,0.537,101.99,102.64,0.11,1629634,2020
2021-22,64,19.5,0.66,0.171,113.2,112.5,105.7,104.4,7.5,8.1,0.101,0.099,0.148,0.123,5.5,5.4,0.65,104.61,105.59,0.141,1629634,2021
